SampleID, process                                                     , xsection(nb), kfactor , filtereff , generator                               , simulation
# signal non-res NLO+FT kappa_lambda=1
503036  , MGPy8EG_hh_bbZZ_ll_vbf_novhh_l10cvv1cv1                     , 0.000098059, 1       , 0.00087235, MadGraph(v.2.7.3p3.atlas6)+Pythia8(v.244p3.rangefix)+EvtGen(v.1.7.0), OFLCOND-MC16-SDR-16
503037  , MGPy8EG_hh_bbZZ_ll_vbf_novhh_l1cvv1cv0p5                    , 0.000010958, 1       , 0.00087235, MadGraph(v.2.7.3p3.atlas6)+Pythia8(v.244p3.rangefix)+EvtGen(v.1.7.0), OFLCOND-MC16-SDR-16
503038  , MGPy8EG_hh_bbZZ_ll_vbf_novhh_l1cvv1cv1p5                    , 0.000066071, 1       , 0.00087235, MadGraph(v.2.7.3p3.atlas6)+Pythia8(v.244p3.rangefix)+EvtGen(v.1.7.0), OFLCOND-MC16-SDR-16
503039  , MGPy8EG_hh_bbZZ_ll_vbf_novhh_l0cvv0cv1                      , 0.000036965, 1       , 0.00087235, MadGraph(v.2.7.3p3.atlas6)+Pythia8(v.244p3.rangefix)+EvtGen(v.1.7.0), OFLCOND-MC16-SDR-16

503042  , MGPy8EG_hh_bbWW_ll_vbf_novhh_l1cvv0p5cv1                    , 0.000009634, 1       , 0.0162394 , MadGraph(v.2.7.3p3.atlas6)+Pythia8(v.244p3.rangefix)+EvtGen(v.1.7.0), OFLCOND-MC16-SDR-16
503043  , MGPy8EG_hh_bbWW_ll_vbf_novhh_l1cvv1p5cv1                    , 0.000003356, 1       , 0.0162394 , MadGraph(v.2.7.3p3.atlas6)+Pythia8(v.244p3.rangefix)+EvtGen(v.1.7.0), OFLCOND-MC16-SDR-16
503044  , MGPy8EG_hh_bbWW_ll_vbf_novhh_l1cvv2cv1                      , 0.000014515, 1       , 0.0162394 , MadGraph(v.2.7.3p3.atlas6)+Pythia8(v.244p3.rangefix)+EvtGen(v.1.7.0), OFLCOND-MC16-SDR-16
503045  , MGPy8EG_hh_bbWW_ll_vbf_novhh_l1cvv3cv1                      , 0.000065431, 1       , 0.0162394 , MadGraph(v.2.7.3p3.atlas6)+Pythia8(v.244p3.rangefix)+EvtGen(v.1.7.0), OFLCOND-MC16-SDR-16
503046  , MGPy8EG_hh_bbWW_ll_vbf_novhh_l0cvv1cv1                      , 0.000004608, 1       , 0.0162394 , MadGraph(v.2.7.3p3.atlas6)+Pythia8(v.244p3.rangefix)+EvtGen(v.1.7.0), OFLCOND-MC16-SDR-16
503047  , MGPy8EG_hh_bbWW_ll_vbf_novhh_l2cvv1cv1                      , 0.000001559, 1       , 0.0162394 , MadGraph(v.2.7.3p3.atlas6)+Pythia8(v.244p3.rangefix)+EvtGen(v.1.7.0), OFLCOND-MC16-SDR-16
503048  , MGPy8EG_hh_bbWW_ll_vbf_novhh_l10cvv1cv1                     , 0.000098059, 1       , 0.0162394 , MadGraph(v.2.7.3p3.atlas6)+Pythia8(v.244p3.rangefix)+EvtGen(v.1.7.0), OFLCOND-MC16-SDR-16
503049  , MGPy8EG_hh_bbWW_ll_vbf_novhh_l1cvv1cv0p5                    , 0.000010958, 1       , 0.0162394 , MadGraph(v.2.7.3p3.atlas6)+Pythia8(v.244p3.rangefix)+EvtGen(v.1.7.0), OFLCOND-MC16-SDR-16
503050  , MGPy8EG_hh_bbWW_ll_vbf_novhh_l1cvv1cv1p5                    , 0.000066071, 1       , 0.0162394 , MadGraph(v.2.7.3p3.atlas6)+Pythia8(v.244p3.rangefix)+EvtGen(v.1.7.0), OFLCOND-MC16-SDR-16
503051  , MGPy8EG_hh_bbWW_ll_vbf_novhh_l0cvv0cv1                      , 0.000036965, 1       , 0.0162394 , MadGraph(v.2.7.3p3.atlas6)+Pythia8(v.244p3.rangefix)+EvtGen(v.1.7.0), OFLCOND-MC16-SDR-16

# signal VBF SM bbZZ 2l2q
508674  , MGPy8EG_NNPDF30NLO_hhml_bbZZ2l2q_l1cvv1cv1                  , 0.000001726, 1       , 0.004272  , MadGraph(v.2.7.3p3.atlas6)+Pythia8(v.244p3.rangefix)+EvtGen(v.1.7.0), OFLCOND-MC16-SDR-16


# signal samples  VBF BSM bbZZ 2l2q
511801  , MGPy8EG_NNPDF30NLO_HHbbZZ2l2q_l1cvv1pt5cv1                  , 0.000003356, 1       , 0.004272  , MadGraph(v.2.7.3p3.atlas6)+Pythia8(v.244p3.rangefix)+EvtGen(v.1.7.0), OFLCOND-MC16-SDR-16
511802  , MGPy8EG_NNPDF30NLO_HHbbZZ2l2q_l1cvv2cv1                     , 0.000014515, 1       , 0.004272  , MadGraph(v.2.7.3p3.atlas6)+Pythia8(v.244p3.rangefix)+EvtGen(v.1.7.0), OFLCOND-MC16-SDR-16
511803  , MGPy8EG_NNPDF30NLO_HHbbZZ2l2q_l0cvv0cv1                     , 0.000036965, 1       , 0.004272  , MadGraph(v.2.7.3p3.atlas6)+Pythia8(v.244p3.rangefix)+EvtGen(v.1.7.0), OFLCOND-MC16-SDR-16
511804  , MGPy8EG_NNPDF30NLO_HHbbZZ2l2q_l1cvv3cv1                     , 0.000065431, 1       , 0.004272  , MadGraph(v.2.7.3p3.atlas6)+Pythia8(v.244p3.rangefix)+EvtGen(v.1.7.0), OFLCOND-MC16-SDR-16
511805  , MGPy8EG_NNPDF30NLO_HHbbZZ2l2q_l2cvv1cv1                     , 0.000001559, 1       , 0.004272  , MadGraph(v.2.7.3p3.atlas6)+Pythia8(v.244p3.rangefix)+EvtGen(v.1.7.0), OFLCOND-MC16-SDR-16
511806  , MGPy8EG_NNPDF30NLO_HHbbZZ2l2q_l1cvv0pt5cv1                  , 0.000009634, 1       , 0.004272  , MadGraph(v.2.7.3p3.atlas6)+Pythia8(v.244p3.rangefix)+EvtGen(v.1.7.0), OFLCOND-MC16-SDR-16
511807  , MGPy8EG_NNPDF30NLO_HHbbZZ2l2q_l1cvv1cv0pt5                  , 0.000010958, 1       , 0.004272  , MadGraph(v.2.7.3p3.atlas6)+Pythia8(v.244p3.rangefix)+EvtGen(v.1.7.0), OFLCOND-MC16-SDR-16
511808  , MGPy8EG_NNPDF30NLO_HHbbZZ2l2q_l1cvv1cv1pt5                  , 0.000066071, 1       , 0.004272  , MadGraph(v.2.7.3p3.atlas6)+Pythia8(v.244p3.rangefix)+EvtGen(v.1.7.0), OFLCOND-MC16-SDR-16
511809  , MGPy8EG_NNPDF30NLO_HHbbZZ2l2q_l10cvv1cv1                    , 0.000098059, 1       , 0.004272  , MadGraph(v.2.7.3p3.atlas6)+Pythia8(v.244p3.rangefix)+EvtGen(v.1.7.0), OFLCOND-MC16-SDR-16
511810  , MGPy8EG_NNPDF30NLO_HHbbZZ2l2q_ln5cvv1cv0pt5                 , 0.0000044488, 1       , 0.1058547 , MadGraph(v.2.7.3p3.atlas6)+Pythia8(v.244p3.rangefix)+EvtGen(v.1.7.0), OFLCOND-MC16-SDR-16
511811  , MGPy8EG_NNPDF30NLO_HHbbZZ2l2q_l0cvv1cv1                     , 0.000004608, 1       , 0.004272  , MadGraph(v.2.7.3p3.atlas6)+Pythia8(v.244p3.rangefix)+EvtGen(v.1.7.0), OFLCOND-MC16-SDR-16
